2019-09-08 15:04:41 status unpacked libsmartcols1:armel 2.29.2-1+deb9u1
2019-09-08 15:04:41 install libuuid1:armel <none> 2.29.2-1+deb9u1
2019-09-08 15:04:41 status half-installed libuuid1:armel 2.29.2-1+deb9u1
2019-09-08 15:04:41 status unpacked libuuid1:armel 2.29.2-1+deb9u1
2019-09-08 15:04:41 status unpacked libuuid1:armel 2.29.2-1+deb9u1
2019-09-08 15:04:41 install mount:armel <none> 2.29.2-1+deb9u1
2019-09-08 15:04:41 status half-installed mount:armel 2.29.2-1+deb9u1
2019-09-08 15:04:41 status unpacked mount:armel 2.29.2-1+deb9u1
2019-09-08 15:04:41 status unpacked mount:armel 2.29.2-1+deb9u1
2019-09-08 15:04:41 install util-linux:armel <none> 2.29.2-1+deb9u1
2019-09-08 15:04:41 status half-installed util-linux:armel 2.29.2-1+deb9u1
2019-09-08 15:04:42 status unpacked util-linux:armel 2.29.2-1+deb9u1
2019-09-08 15:04:42 status unpacked util-linux:armel 2.29.2-1+deb9u1
2019-09-08 15:04:42 install liblzma5:armel <none> 5.2.2-1.2+b1
2019-09-08 15:04:42 status half-installed liblzma5:armel 5.2.2-1.2+b1
2019-09-08 15:04:42 status unpacked liblzma5:armel 5.2.2-1.2+b1
2019-09-08 15:04:42 status unpacked liblzma5:armel 5.2.2-1.2+b1
2019-09-08 15:04:42 install zlib1g:armel <none> 1:1.2.8.dfsg-5
2019-09-08 15:04:42 status half-installed zlib1g:armel 1:1.2.8.dfsg-5
2019-09-08 15:04:42 status unpacked zlib1g:armel 1:1.2.8.dfsg-5
2019-09-08 15:04:42 status unpacked zlib1g:armel 1:1.2.8.dfsg-5
2019-09-08 15:04:43 startup packages configure
2019-09-08 15:04:43 configure gcc-6-base:armel 6.3.0-18+deb9u1 <none>
2019-09-08 15:04:43 status unpacked gcc-6-base:armel 6.3.0-18+deb9u1
2019-09-08 15:04:43 status half-configured gcc-6-base:armel 6.3.0-18+deb9u1
2019-09-08 15:04:43 status installed gcc-6-base:armel 6.3.0-18+deb9u1
2019-09-08 15:04:43 configure lsb-base:all 9.20161125 <none>
2019-09-08 15:04:43 status unpacked lsb-base:all 9.20161125
2019-09-08 15:04:43 status half-configured lsb-base:all 9.20161125
2019-09-08 15:04:43 status installed lsb-base:all 9.20161125
2019-09-08 15:04:43 configure sensible-utils:all 0.0.9+deb9u1 <none>
2019-09-08 15:04:43 status unpacked sensible-utils:all 0.0.9+deb9u1
2019-09-08 15:04:43 status half-configured sensible-utils:all 0.0.9+deb9u1
